square_footage,bedrooms,price_thousands
987,2,267
1076,3,324
1901,4,930
1199,2,257
2001,4,688
1184,3,607
1797,3,333
2091,5,520
1894,3,524
1274,3,404
1972,4,836
1371,2,350
1244,2,331
1202,3,633
1606,4,398
1504,3,294
1578,3,275
1226,2,260
902,2,316
1306,2,518
2017,5,570
2062,5,863
1558,3,358
1765,3,531
1269,2,311
1378,2,262
1908,3,540
1546,3,496
1231,2,373
1878,4,546
2146,6,801
1630,4,526
1496,2,315
1320,2,295
1768,4,511
1165,2,343
1663,3,514
1590,4,533
1246,3,607
1469,2,347
1037,7,688
992,2,355
1525,3,628
2128,4,362
1462,2,261
1178,3,424
1133,3,358
2036,6,446
2175,6,929
1959,3,611
1510,3,521
958,2,334
618,1,107
3558,6,916
1257,2,385
1795,3,440
1037,3,256
1705,3,380
1032,2,408
1000,3,474
1571,3,606
1952,3,670
1652,3,353
1253,2,358
1449,2,371
1988,4,760
1274,3,561
1416,3,591
1397,3,306
1070,3,509
1917,4,768
1777,3,455
1108,2,272
1617,3,418
1962,4,393
1818,3,303
1006,3,321
2090,6,869
2041,4,565
1663,4,888
1306,3,466
1896,4,825
1105,3,260
1391,2,334
1050,2,206
3957,5,1753
1760,4,548
1932,3,553
1414,3,663
1065,2,197
1472,3,581
1061,3,390
1499,3,434
1341,2,407
1965,4,581
1591,4,490
1586,4,237
995,1,266
1276,3,433
1045,2,452
1164,2,327
1005,3,333
1500,3,373
2166,6,777
1742,3,383
945,2,299
1524,3,432
2115,6,687
3496,7,1211
2068,5,591
1069,3,265
1847,3,444
1265,3,440
1120,2,313
1621,4,723
969,2,308
1423,3,305
1325,2,448
1837,3,813
863,5,489
1248,3,254
985,1,191
1272,3,344
1148,3,194
1182,3,459
559,7,696
1935,3,570
1262,2,304
1043,2,396
1407,3,315
1281,3,646
2025,5,717
1018,2,283
1466,2,238
1033,2,400
1039,3,463
563,1,335
2162,4,503
3344,1,547
2079,5,683
1769,4,724
1574,4,484
1800,4,439
1992,3,538
1978,3,595
1360,2,363
1291,3,376
997,2,385
1366,2,302
1191,3,239
2048,5,772
2156,6,974
1595,3,383
1328,2,294
2002,4,362
1891,4,577
1050,3,237
2011,6,749
1921,3,658
1781,4,404
2002,6,927
1997,3,476
1171,2,280
2146,4,845
1041,2,289
2783,1,578
2197,5,697
1953,4,546
1612,3,358
1279,3,210
1154,2,374
1156,3,275
1607,3,297
2094,6,671
2029,6,615
1679,3,345
775,1,221
954,2,351
1976,4,383
1803,4,474
1348,3,474
1957,4,387
2035,5,834
1373,2,312
2169,5,1181
1582,3,518
1599,3,244
3385,1,1094
1681,4,482
1445,3,466
1226,2,551
1778,3,457
1168,2,222
1882,4,488
1089,2,279
2023,5,980
1381,3,553
2091,5,578
1741,4,397
1250,3,373
1053,2,293
1007,3,378
1361,3,424
1832,4,551
1888,3,557
2179,4,471
1700,3,834
1710,3,534
1428,3,606
2182,6,432
1074,3,495
1300,2,380
2160,6,999
1354,3,297
1039,3,290
1305,3,484
1837,4,445
3863,1,915
1696,4,851
2108,4,543
1405,2,601
1967,4,549
932,2,310
1525,3,502
1612,4,710
971,2,355
1646,3,513
1024,3,476
910,1,296
2099,5,1005
939,2,524
1395,2,568
1499,3,533
1543,3,423
1411,3,508
984,1,364
1529,4,355
1515,3,334
1885,4,641
1026,1,305
530,5,588
1318,3,287
1753,4,303
1945,4,367
1524,4,708
1521,4,444
1795,4,544
2176,6,884
2037,6,1054
2132,4,649
981,1,304
2693,7,493
2171,5,689
926,1,86
2108,5,568
1726,4,263
2186,5,759
1074,2,552
1383,3,576
941,1,293
1545,4,554
2159,4,662
1532,4,458
1897,4,624
1726,3,580
1375,3,374
1378,3,426
1576,4,766
1975,4,681
1338,2,520
1513,4,454
1888,3,649
1298,3,253
971,1,344
1139,2,334
1447,3,554
1764,4,543
1961,4,469
1161,3,453
2000,6,333
1435,2,393
1635,4,614
1764,4,296
1473,3,459
1398,2,475
1522,4,285
2012,4,328
1991,3,390
2110,5,607
1590,3,415
980,1,292
